,Rank,Name,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Height,Weight
2351,2352,David Harrison,189,14.2,2.0,3.7,0.53,0.0,0.0,0.0,1.1,2.0,0.525,1.1,2.8,1.0,1.9,2.9,0.2,0.3,1.0,5.0,213.36,127.00576000000001
2353,2354,Kendall Marshall,160,19.3,2.0,4.9,0.39899999999999997,0.8,2.2,0.37,0.3,0.5,0.611,1.8,1.1,0.1,1.4,1.6,4.9,0.7,0.1,5.0,193.04,88.45044
2355,2356,Mike Brown,626,17.5,1.8,4.0,0.455,0.0,0.0,0.125,1.4,2.0,0.69,1.0,2.2,1.5,2.9,4.4,0.7,0.4,0.3,5.0,208.28,117.93392
2356,2357,John Jenkins,171,12.8,1.8,4.1,0.441,0.7,1.9,0.36700000000000005,0.7,0.8,0.847,0.6,0.6,0.2,1.3,1.5,0.8,0.2,0.1,5.0,193.04,97.52228000000001
2358,2359,Derrick Byars,2,18.4,1.5,5.5,0.273,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,2.5,5.5,0.5,1.0,0.0,5.0,200.66,99.79024
2359,2360,Dusty Hannahs,4,9.8,1.8,5.2,0.33299999999999996,0.5,2.0,0.25,1.0,1.0,1.0,0.2,0.5,0.0,0.5,0.5,1.2,0.2,0.0,5.0,193.04,88.45044
2367,2368,Zan Tabak,247,14.6,2.2,4.3,0.506,0.0,0.0,0.0,0.6,1.2,0.525,1.1,2.3,1.3,2.3,3.6,0.7,0.3,0.5,5.0,213.36,111.13004
2375,2376,Kyle Weaver,73,18.9,1.8,4.2,0.441,0.6,1.6,0.353,0.7,1.0,0.736,1.1,1.3,0.5,1.7,2.2,1.6,0.8,0.5,5.0,198.12,91.171992
2376,2377,Jackie Butler,69,12.3,2.0,3.7,0.539,0.0,0.0,0.0,1.0,1.3,0.775,1.1,2.1,1.1,1.9,3.0,0.4,0.3,0.4,5.0,208.28,113.398
2378,2379,Bracey Wright,26,12.5,1.7,4.3,0.405,0.5,1.4,0.324,1.0,1.3,0.794,0.5,0.5,0.4,1.1,1.5,0.8,0.4,0.0,5.0,190.5,95.25432
